id_commune;population_municipale;population_comptee_a_part;population_totale
03238;529;9;538
03239;265;9;274
03240;543;11;554
03241;368;46;414
03242;568;14;582
03243;121;6;127
03244;128;2;130
03245;124;1;125
03246;594;12;606
03247;1106;33;1139
03248;165;2;167
03249;162;2;164
03250;349;6;355
03251;376;9;385
03252;677;15;692
03253;379;10;389
03254;5221;118;5339
03255;143;4;147
03256;214;5;219
03257;803;23;826
03258;1737;26;1763
03259;338;3;341
03260;224;5;229
03261;178;7;185
03262;2092;38;2130
03263;194;8;202
03264;2570;53;2623
03265;671;78;749
03266;272;8;280
03267;664;24;688
03268;386;3;389
03269;85;2;87
03270;143;5;148
03271;805;32;837
